Year,Kms_Driven,Fuel_Type,Transmission,Selling_Price
2014,27000,Petrol,Manual,3.35
2013,43000,Diesel,Manual,4.75
2017,6900,Petrol,Manual,7.25
2011,5200,Petrol,Manual,2.85
2014,42450,Diesel,Manual,4.6
2018,2071,Diesel,Manual,9.25
2015,18796,Petrol,Manual,6.75
2015,33429,Diesel,Manual,6.5
2016,20273,Diesel,Manual,8.75
2015,42367,Diesel,Manual,7.45
2017,2135,Petrol,Manual,2.85
2015,51000,Diesel,Manual,6.85
2015,15000,Petrol,Automatic,7.5
2015,26000,Petrol,Manual,6.1
2009,77427,Petrol,Manual,2.25
2016,43000,Diesel,Manual,7.75
2015,41678,Diesel,Manual,7.25
2016,43000,Diesel,Manual,7.75
2015,35500,CNG,Manual,3.25
2010,41442,Petrol,Manual,2.65
2016,25000,Petrol,Manual,2.85
2017,2400,Petrol,Manual,4.9
2011,50000,Petrol,Automatic,4.4
2014,45280,Petrol,Manual,2.5
2013,56879,Petrol,Manual,2.9
2011,20000,Petrol,Manual,3
2013,55138,Petrol,Manual,4.15
2017,16200,Petrol,Manual,6
2010,44542,Petrol,Manual,1.95
2015,45000,Diesel,Manual,7.45
2012,51439,Diesel,Manual,3.1
2011,54200,Petrol,Manual,2.35
2014,39000,Diesel,Manual,4.95
2014,45000,Diesel,Manual,6
2014,45000,Diesel,Manual,5.5
2011,49998,CNG,Manual,2.95
2015,48767,Petrol,Manual,4.65
2003,127000,Petrol,Manual,0.35
2016,10079,Petrol,Manual,3
2003,62000,Petrol,Manual,2.25
2016,24524,Petrol,Automatic,5.85
2014,46706,Petrol,Manual,2.55
2008,58000,Petrol,Manual,1.95
2014,45780,Diesel,Manual,5.5
2012,50000,Petrol,Manual,1.25
2014,15000,Petrol,Automatic,7.5
2013,64532,Petrol,Manual,2.65
2006,65000,Petrol,Manual,1.05
2015,25870,Petrol,Manual,5.8
2017,37000,Petrol,Automatic,7.75
2012,104707,Diesel,Automatic,14.9
2015,40000,Diesel,Automatic,23
2017,15000,Diesel,Automatic,18
2013,135000,Diesel,Automatic,16
2005,90000,Petrol,Manual,2.75
2009,70000,Petrol,Automatic,3.6
2015,40534,Petrol,Manual,4.5
2010,50000,Petrol,Manual,4.75
2014,39485,Petrol,Manual,4.1
2014,41000,Diesel,Automatic,19.99
2013,40001,Petrol,Manual,6.95
2015,40588,Petrol,Manual,4.5
2014,78000,Diesel,Automatic,18.75
2015,47000,Diesel,Automatic,23.5
2017,6000,Diesel,Automatic,33
2014,45000,Diesel,Manual,4.75
2017,11000,Petrol,Automatic,19.75
2010,59000,Diesel,Manual,9.25
2011,88000,Petrol,Manual,4.35
2016,12000,Petrol,Manual,14.25
2014,71000,Diesel,Manual,3.95
2011,45000,Diesel,Manual,4.5
2013,56001,Petrol,Manual,7.45
2011,43000,Petrol,Manual,2.65
2014,83000,Diesel,Manual,4.9
2015,36000,Petrol,Manual,3.95
2013,72000,Petrol,Manual,5.5
2004,135154,Petrol,Automatic,1.5
2010,80000,Petrol,Automatic,5.25
2012,89000,Diesel,Automatic,14.5
2016,23000,Diesel,Manual,14.73
2015,40000,Diesel,Manual,4.75
2017,15000,Diesel,Automatic,23
2015,38000,Diesel,Manual,12.5
2005,197176,Diesel,Manual,3.49
2006,142000,Petrol,Automatic,2.5
2010,78000,Diesel,Manual,35
2012,56000,Petrol,Manual,5.9
2013,47000,Petrol,Manual,3.45
2014,40000,Petrol,Manual,4.75
2009,62000,Petrol,Manual,3.8
2014,58242,Diesel,Manual,11.25
2005,75000,Petrol,Manual,3.51
2015,40000,Diesel,Automatic,23
2008,89000,Petrol,Automatic,4
2012,72000,Petrol,Manual,5.85
2016,29000,Diesel,Automatic,20.75
2017,8700,Petrol,Manual,17
2013,45000,Petrol,Manual,7.05
2010,50024,Diesel,Manual,9.65
2016,3000,Petrol,Manual,1.75
2017,1400,Petrol,Manual,1.7
2017,4000,Petrol,Manual,1.65
2017,1200,Petrol,Manual,1.45
2017,4100,Petrol,Manual,1.35
2015,21700,Petrol,Manual,1.35
2014,16500,Petrol,Manual,1.35
2013,15000,Petrol,Manual,1.25
2016,18000,Petrol,Manual,1.2
2017,11000,Petrol,Manual,1.2
2016,6000,Petrol,Manual,1.2
2016,8700,Petrol,Manual,1.15
2014,7000,Petrol,Manual,1.15
2016,35000,Petrol,Manual,1.15
2015,17000,Petrol,Manual,1.15
2015,17500,Petrol,Manual,1.11
2013,33000,Petrol,Manual,1.1
2015,14000,Petrol,Manual,1.1
2015,26000,Petrol,Manual,1.1
2013,5400,Petrol,Manual,1.05
2016,5700,Petrol,Manual,1.05
2011,6900,Petrol,Manual,1.05
2016,6000,Petrol,Manual,1.05
2013,46500,Petrol,Manual,1
2012,11500,Petrol,Manual,0.95
2009,40000,Petrol,Manual,0.9
2017,1300,Petrol,Manual,0.9
2016,7000,Petrol,Manual,0.75
2017,3000,Petrol,Manual,0.8
2017,5000,Petrol,Manual,0.78
2017,11000,Petrol,Manual,0.75
2015,18000,Petrol,Manual,0.75
2017,3500,Petrol,Manual,0.75
2016,500,Petrol,Manual,0.72
2017,11800,Petrol,Manual,0.65
2015,5000,Petrol,Manual,0.65
2014,23500,Petrol,Manual,0.65
2013,16000,Petrol,Manual,0.65
2016,15000,Petrol,Manual,0.6
2015,16600,Petrol,Manual,0.6
2013,32000,Petrol,Manual,0.6
2016,20000,Petrol,Manual,0.6
2015,29000,Petrol,Manual,0.6
2016,25000,Petrol,Manual,0.6
2014,25000,Petrol,Manual,0.6
2012,19000,Petrol,Manual,0.6
2014,15000,Petrol,Manual,0.55
2015,58000,Petrol,Manual,0.55
2010,45000,Petrol,Manual,0.52
2016,24000,Petrol,Manual,0.51
2011,6000,Petrol,Manual,0.5
2016,31000,Petrol,Manual,0.5
2012,13000,Petrol,Manual,0.5
2013,45000,Petrol,Manual,0.5
2014,8000,Petrol,Manual,0.5
2017,4300,Petrol,Automatic,0.48
2017,15000,Petrol,Manual,0.48
2015,23000,Petrol,Manual,0.48
2017,8600,Petrol,Manual,0.48
2017,4000,Petrol,Automatic,0.45
2011,24000,Petrol,Manual,0.45
2014,23000,Petrol,Manual,0.45
2012,14500,Petrol,Manual,0.45
2010,27000,Petrol,Manual,0.45
2016,14000,Petrol,Manual,0.45
2016,500,Petrol,Automatic,0.45
2016,1000,Petrol,Manual,0.45
2014,42000,Petrol,Manual,0.42
2013,12000,Petrol,Manual,0.42
2015,14000,Petrol,Manual,0.4
2012,5500,Petrol,Manual,0.4
2015,6700,Petrol,Manual,0.4
2014,13700,Petrol,Manual,0.4
2017,1300,Petrol,Automatic,0.4
2015,38600,Petrol,Manual,0.38
2011,75000,Petrol,Manual,0.38
2011,30000,Petrol,Manual,0.35
2016,24000,Petrol,Automatic,0.35
2014,19000,Petrol,Automatic,0.35
2010,213000,Petrol,Manual,0.31
2012,60000,Petrol,Manual,0.3
2016,50000,Petrol,Manual,0.3
2013,30000,Petrol,Manual,0.3
2013,21000,Petrol,Manual,0.27
2008,26000,Petrol,Manual,0.25
2008,1900,Petrol,Automatic,0.25
2010,22000,Petrol,Automatic,0.25
2013,32000,Petrol,Manual,0.25
2013,18000,Petrol,Manual,0.25
2005,55000,Petrol,Manual,0.2
2008,60000,Petrol,Manual,0.2
2012,25000,Petrol,Manual,0.2
2007,49000,Petrol,Manual,0.2
2013,24000,Petrol,Manual,0.2
2008,50000,Petrol,Manual,0.2
2015,35000,Petrol,Manual,0.18
2008,500000,Petrol,Automatic,0.17
2010,33000,Petrol,Manual,0.16
2011,35000,Petrol,Manual,0.15
2007,53000,Petrol,Manual,0.12
2006,92233,Petrol,Manual,0.1
2010,58000,Diesel,Manual,3.25
2015,28200,Petrol,Manual,4.4
2011,53460,Petrol,Manual,2.95
2015,28282,Petrol,Manual,2.75
2016,3493,Petrol,Manual,5.25
2017,12479,Petrol,Manual,5.75
2015,34797,Petrol,Automatic,5.15
2017,3435,Petrol,Manual,7.9
2015,21125,Diesel,Manual,4.85
2012,35775,Petrol,Manual,3.1
2015,43535,Diesel,Manual,11.75
2016,22671,Petrol,Manual,11.25
2011,31604,Petrol,Manual,2.9
2017,20114,Petrol,Manual,5.25
2012,36100,Petrol,Manual,4.5
2016,12500,Petrol,Manual,2.9
2016,15000,Petrol,Manual,3.15
2014,45078,Petrol,Manual,6.45
2012,36000,Petrol,Manual,4.5
2017,38488,Petrol,Manual,3.5
2013,32000,Petrol,Automatic,4.5
2014,77632,Diesel,Manual,6
2015,61381,Diesel,Manual,8.25
2013,36198,Petrol,Automatic,5.11
2011,22517,Petrol,Manual,2.7
2015,24678,Petrol,Manual,5.25
2011,57000,Petrol,Manual,2.55
2012,60000,Diesel,Manual,4.95
2012,52132,Diesel,Manual,3.1
2013,45000,Diesel,Manual,6.15
2017,15001,Petrol,Manual,9.25
2015,12900,Petrol,Automatic,11.45
2013,53000,Diesel,Manual,3.9
2015,4492,Petrol,Manual,5.5
2017,15141,Petrol,Manual,9.1
2016,11849,Petrol,Manual,3.1
2015,68000,Diesel,Manual,11.25
2013,60241,Petrol,Manual,4.8
2012,23709,Petrol,Manual,2
2012,32322,Diesel,Manual,5.35
2015,35866,Petrol,Manual,4.75
2014,34000,Petrol,Manual,4.4
2016,7000,Petrol,Manual,6.25
2013,49000,Diesel,Manual,5.95
2012,71000,Diesel,Manual,5.2
2012,35000,Petrol,Manual,3.75
2015,36000,Petrol,Manual,5.95
2013,30000,Petrol,Manual,4
2016,17000,Petrol,Manual,5.25
2016,35934,Diesel,Manual,12.9
2013,56701,Petrol,Manual,5
2015,31427,Petrol,Automatic,5.4
2014,48000,Diesel,Manual,7.2
2013,54242,Petrol,Manual,5.25
2012,53675,Petrol,Manual,3
2016,49562,Petrol,Manual,10.25
2015,40324,Petrol,Manual,8.5
2015,25000,Petrol,Manual,8.4
2014,36054,Petrol,Manual,3.9
2016,29223,Petrol,Manual,9.15
2016,5600,Petrol,Manual,5.5
2015,40023,Petrol,Manual,4
2016,16002,Petrol,Manual,6.6
2015,40026,Petrol,Manual,4
2017,21200,Petrol,Manual,6.5
2014,35000,Petrol,Manual,3.65
2016,19434,Diesel,Manual,8.35
2017,19000,Petrol,Manual,4.8
2015,18828,Petrol,Manual,6.7
2011,69341,Petrol,Manual,4.1
2009,69562,Petrol,Manual,3
2015,27600,Petrol,Manual,7.5
2010,61203,Petrol,Manual,2.25
2014,16500,Petrol,Manual,5.3
2016,30753,Petrol,Automatic,10.9
2015,24800,Petrol,Manual,8.65
2015,21780,Petrol,Manual,9.7
2016,4000,Petrol,Manual,6
2014,40126,Petrol,Manual,6.25
2015,14465,Petrol,Manual,5.25
2006,50456,Petrol,Manual,2.1
2014,63000,Diesel,Manual,8.25
2016,9010,Petrol,Manual,8.99
2013,9800,Petrol,Manual,3.5
2016,15059,Petrol,Automatic,7.4
2016,28569,Petrol,Manual,5.65
2015,44000,Petrol,Automatic,5.75
2015,34000,Petrol,Manual,8.4
2016,10980,Petrol,Manual,10.11
2014,19000,Petrol,Manual,4.5
2015,31427,Petrol,Manual,5.4
2016,12000,Petrol,Manual,6.4
2010,38000,Petrol,Manual,3.25
2014,33019,Petrol,Manual,3.75
2015,60076,Diesel,Manual,8.55
2016,33988,Diesel,Manual,9.5
2015,60000,Petrol,Manual,4
2009,87934,Petrol,Manual,3.35
2017,9000,Diesel,Manual,11.5
2016,5464,Petrol,Manual,5.3
